Site,Lat,Long,Height,Reciver
JFNG,30.516,114.491,,
GMSD,30.556,131.016,,
ANMG,2.784,101.507,,
DARW,-12.844,131.133,,
MIZU,39.135,141.133,,
PNGM,-2.043,147.366,,
